numren,sexo,edad,folio,tam_loc,est_dis,upm,factor,ur_rur_2500,municipio,entidad,ccevj,CBDj,CSj,CTELJ,CENJ,rei,ett,CASi,CASSi,cyt,nbi,mmip,E_ccevj,E_CBDj,E_CSj,E_CTELJ,E_CENJ,E_rei,E_CASSi,E_CASi,E_nbi,E_cict,E_ett,E_cyt,E_mmip,año,anio,is_cdmx,municipio_num,alcaldia_norm
2,2,47,9002356031,1,134,24160,1983,1,2,9,0.037500083,-0.005028844,0.0,0.0,0.0,-0.1875,0.871942759,1.0,0.0,0.597741723,0.109258354,0.415048957,3,4,4,4,4,5,4,1,3,1,5,1,2,2016,2016,True,2,AZCAPOTZALCO
3,1,23,9002356031,1,134,24160,1983,1,2,9,0.037500083,-0.005028844,0.0,0.0,0.0,0.0,0.871942759,0.0,0.0,0.597741723,0.012008354,0.378677458,3,4,4,4,4,4,4,4,3,1,5,1,2,2016,2016,True,2,AZCAPOTZALCO
4,2,17,9002356031,1,134,24160,1983,1,2,9,0.037500083,-0.005028844,0.0,0.0,0.0,0.071428597,0.871942759,1.0,1.0,0.597741723,0.311865509,0.490824014,3,4,4,4,4,3,1,1,3,1,5,1,2,2016,2016,True,2,AZCAPOTZALCO
1,2,67,9002356041,1,134,24160,1983,1,2,9,-1.0,0.106828034,0.25,1.0,0.0,0.25,0.100000001,0.0,0.0,-0.162003756,-0.22355397,-0.185023531,6,3,3,1,4,3,4,4,5,5,6,5,5,2016,2016,True,2,AZCAPOTZALCO
1,1,64,9002356051,1,134,24160,1983,1,2,9,0.285714269,-0.802406788,0.25,-0.5,0.0,-0.078947306,0.100000001,0.0,0.0,-0.109696984,0.022793122,-0.060145684,3,6,3,6,4,4,4,4,3,5,6,5,4,2016,2016,True,2,AZCAPOTZALCO
2,2,64,9002356051,1,134,24160,1983,1,2,9,0.285714269,-0.802406788,0.25,-0.5,0.0,0.25,0.100000001,0.0,0.0,-0.109696984,0.100424685,-0.031111481,3,6,3,6,4,3,4,4,3,5,6,5,4,2016,2016,True,2,AZCAPOTZALCO
1,2,86,9002356061,1,134,24160,1983,1,2,9,-1.0,-0.035852432,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-0.044390917,-0.094079442,-0.062974423,6,4,4,4,4,1,4,4,4,4,1,4,4,2016,2016,True,2,AZCAPOTZALCO
1,1,39,9002375011,1,134,24170,1671,1,2,9,-0.452381015,-0.095729351,0.0,-0.5,0.0,-0.25,1.358333349,0.0,0.0,-0.133754253,-0.227933273,-0.168977201,5,4,4,6,4,5,4,4,5,5,2,5,5,2016,2016,True,2,AZCAPOTZALCO
2,2,39,9002375011,1,134,24170,1671,1,2,9,-0.452381015,-0.095729351,0.0,-0.5,0.0,-0.200000048,1.358333349,0.0,0.0,-0.133754253,-0.216133282,-0.164564013,5,4,4,6,4,5,4,4,5,5,2,5,5,2016,2016,True,2,AZCAPOTZALCO
1,1,56,9002375021,1,134,24170,1671,1,2,9,0.375,0.066851497,0.375,-0.5,0.0,0.0,1.036458373,0.0,0.0,-0.099600911,0.125752389,-0.015318776,2,3,2,6,4,4,4,4,3,5,3,4,4,2016,2016,True,2,AZCAPOTZALCO
