anio,alcaldia_norm,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA,mmip_wmean,rei_wmean,nbi_wmean,CBDj_wmean,CSj_wmean,CENJ_wmean,ett_wmean,CASi_wmean,CASSi_wmean,cyt_wmean,ccevj_wmean,share_robos_territoriales,share_fraude,nivel_objetivo,pred_nivel
2021.0,MIGUEL HIDALGO,13662,4435.0,1636.0,439,0,6.404800000000001,6.404800000000001,172.0,945.0,245.0,117.0,1106.0,582.0,1268.0,0.0,-0.10655789292877371,-0.14133924867702416,-0.10044186838251258,-0.4790075054527236,0.040686529336441964,0.0,0.9737089878352627,0.03184414352515892,0.28684835020706506,-0.11021187481556405,-0.22727944558677915,0.3246230420143464,0.11974820670472844,alto,alto
2021.0,MILPA ALTA,2416,303.0,108.0,221,0,31.0165,31.0165,72.0,36.0,8.0,9.0,59.0,19.0,100.0,0.0,0.30394033972790596,0.041275243756181114,0.21532667025883992,-0.16699674570355494,0.46446520532762126,0.0026112156956189874,1.0814029997848131,0.33500279143508527,0.6500347563715513,0.35688205207639373,0.19461961687900187,0.1254139072847682,0.04470198675496689,bajo,bajo
2021.0,TLAHUAC,7182,1333.0,343.0,336,0,12.293299999999999,12.293299999999999,158.0,187.0,101.0,51.0,329.0,81.0,426.0,0.0,0.17410553778804394,-0.02397220639468232,0.08792049492808791,-0.3595059754016799,0.26908967645617327,0.001534896132444792,0.9641575118243516,0.24477759636766735,0.45856991541230135,0.2255962825257832,0.0371172600975396,0.1856028961292119,0.04775828460038986,medio,medio
2021.0,TLALPAN,13963,3645.0,1078.0,409,0,6.4672,6.4672,335.0,849.0,189.0,91.0,611.0,378.0,1190.0,2.0,0.09043928797397856,-0.033527624463036726,0.07284353770853241,-0.38605795060508613,0.3584896012376117,0.001176941776694202,0.9413920701655663,0.14826543103641363,0.4144007232531807,0.1009517642390082,0.057170053473321845,0.26104705292558905,0.07720403924658024,medio,medio
2021.0,VENUSTIANO CARRANZA,12948,3652.0,862.0,403,0,10.7618,10.7618,182.0,768.0,256.0,102.0,1168.0,501.0,675.0,0.0,0.11498630564207592,-0.04263823186929674,0.045451620582769546,-0.3019672296972801,0.08042436832510282,0.000745919757052908,1.0194145486304602,0.15625040189816564,0.3662790773672367,0.15652939205291697,0.017436279788949408,0.28205128205128205,0.06657398826073525,alto,medio
2021.0,XOCHIMILCO,7660,1560.0,449.0,342,0,16.4792,16.4792,174.0,161.0,104.0,78.0,340.0,137.0,566.0,0.0,0.15868416964827722,-0.03019746257791654,0.10572573317112272,-0.29338877621394427,0.32962431995046765,0.0007852700824565955,0.9821493579926619,0.20510047698272396,0.47439674110194935,0.19032387418128402,0.08915201595149735,0.20365535248041775,0.05861618798955614,medio,medio
2022.0,ALVARO OBREGON,15680,3656.0,1253.0,591,0,25.3614,25.3614,188.0,895.0,170.0,127.0,1020.0,317.0,939.0,0.0,0.02752728648345389,-0.07493167201753652,-0.012946125960605867,-0.439424834440664,0.0750514740624536,0.0005168867561957826,0.9303849964753335,0.10711232437063838,0.35256340517340706,0.05170788789042938,-0.08456280659888323,0.23316326530612244,0.07991071428571428,alto,medio
2022.0,AZCAPOTZALCO,11641,3131.0,865.0,533,0,4.2915,4.2915,183.0,803.0,95.0,54.0,881.0,387.0,727.0,1.0,-0.009223592056627946,-0.09418384225347358,-0.036331763581026064,-0.45757026000523715,0.07697493411704208,0.0016778178550662765,0.9530649346165708,0.10519888137815597,0.30063648876325844,0.006972024155936853,-0.11578393665862534,0.2689631474959196,0.07430633107121382,medio,medio
2022.0,BENITO JUAREZ,16952,5216.0,2504.0,604,0,10.8395,10.8395,159.0,1331.0,237.0,32.0,880.0,1307.0,1270.0,0.0,-0.23803328180389363,-0.22788054756171897,-0.18031724403937935,-0.6437846985817983,0.024609227594864298,0.0,0.9500040425239208,-0.0876039670263633,0.24170131326628128,-0.27251538748857257,-0.3012186692303071,0.3076923076923077,0.14771118452100046,alto,alto
2022.0,COYOACAN,17001,4633.0,1388.0,570,0,5.0066,5.0066,248.0,1145.0,328.0,43.0,825.0,772.0,1272.0,0.0,-0.003261919705925925,-0.11510040013056205,-0.016531650121361704,-0.4291193055675469,0.11451563573098132,0.0,0.8445276526618507,0.11040605998690567,0.37057974519708387,0.004666001913822907,-0.0797719031974254,0.27251338156579025,0.08164225633786248,alto,alto
