alcaldia_id,tiempo_id,fuente_datos_id,total_delitos_fgj,total_robos_patrimoniales,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo
11,202200,3,13878,3843,1316,852,140,303,633,599
12,202200,3,2688,223,74,26,58,41,15,9
13,202200,3,7723,1212,459,142,144,270,95,102
14,202200,3,14531,3522,895,799,289,417,370,752
15,202200,3,13229,3402,1480,614,160,311,608,229
16,202200,3,8004,1484,529,159,201,260,124,211
2,202300,3,15626,3567,1156,1032,201,232,380,566
1,202300,3,10129,2800,658,939,148,279,463,313
3,202300,3,16849,5646,993,1386,159,466,1796,846
4,202300,3,16330,4563,992,1264,270,427,863,747
5,202300,3,4296,688,102,275,63,25,99,124
6,202300,3,32800,9625,2898,1926,337,673,2968,823
7,202300,3,23353,5374,1347,1626,368,694,925,414
8,202300,3,10454,2002,724,240,129,227,449,233
9,202300,3,32770,6698,2520,1433,533,816,817,579
10,202300,3,4856,785,244,132,96,77,110,126
11,202300,3,13748,3964,1078,981,156,329,779,641
12,202300,3,2402,227,48,22,82,46,13,16
13,202300,3,7740,1169,387,204,161,245,97,75
14,202300,3,14617,3549,730,937,317,347,452,766
15,202300,3,13147,3229,1251,517,196,301,738,226
16,202300,3,7934,1264,371,182,203,192,102,214
2,202400,3,13642,3045,1180,759,160,146,362,438
1,202400,3,8999,2441,566,821,121,218,445,270
3,202400,3,15740,5205,959,1231,171,406,1605,833
4,202400,3,14936,4241,953,1097,279,387,940,585
5,202400,3,3681,758,114,295,73,25,150,101
6,202400,3,29703,9016,2977,1729,333,672,2574,731
7,202400,3,20743,4563,1109,1225,321,586,946,376
8,202400,3,9865,1963,718,255,96,238,391,265
9,202400,3,28698,5612,2432,1084,429,680,535,452
10,202400,3,4444,714,203,101,116,73,85,136
11,202400,3,12386,3487,990,842,152,331,597,575
12,202400,3,2353,198,66,12,53,44,15,8
13,202400,3,6765,1020,425,167,139,148,73,68
14,202400,3,14067,3309,718,798,344,407,396,646
15,202400,3,12084,2669,1019,427,145,227,665,186
16,202400,3,7048,1160,285,168,215,150,119,223
2,202500,3,785,229,81,62,7,11,45,23
1,202500,3,545,187,43,62,4,18,40,20
3,202500,3,831,327,54,69,14,19,109,62
4,202500,3,854,321,72,80,10,21,101,37
5,202500,3,216,43,8,14,6,1,7,7
6,202500,3,1790,610,193,110,25,52,163,67
7,202500,3,1190,265,83,57,14,30,59,22
8,202500,3,637,129,42,23,11,11,27,15
9,202500,3,1718,400,184,67,26,32,61,30
10,202500,3,229,40,10,6,5,10,2,7
11,202500,3,684,235,62,58,12,18,35,50
12,202500,3,107,14,5,0,4,3,2,0
13,202500,3,410,70,32,10,8,12,7,1
14,202500,3,790,198,47,44,22,17,22,46
15,202500,3,733,155,49,32,6,11,45,12
16,202500,3,384,89,29,11,18,5,9,17
