alcaldia_id,tiempo_id,delito_subtipo_id,fuente_datos_id,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
12,202402,2,3,1,1,19.1991827798343,-99.04971991
12,202402,1,3,6,6,19.19716536816765,-99.03837795833331
12,202402,6,3,1,1,19.2025855498339,-99.06656742
12,202402,5,3,1,1,19.2098220998346,-98.99221838
12,202402,4,3,3,3,19.187095066500635,-99.03345718333333
13,202402,7,3,490,479,19.28407388448336,-99.02429479604452
13,202402,3,3,11,11,19.2715106680157,-99.01183051636364
13,202402,2,3,9,9,19.29095902538945,-99.02348904999997
13,202402,1,3,22,21,19.287593236500555,-99.03028376952376
13,202402,6,3,7,7,19.285381076976616,-99.01502217428572
13,202402,5,3,5,5,19.2856064280898,-99.03153394804522
13,202402,4,3,13,13,19.279423825987735,-99.02503312384611
14,202402,7,3,878,870,19.27159170928344,-99.17680214568512
14,202402,3,3,26,26,19.267486539122693,-99.19257935194418
14,202402,2,3,81,81,19.2871726674733,-99.15806800778124
14,202402,1,3,60,59,19.27999605421172,-99.16964614746205
14,202402,6,3,62,62,19.282679709086487,-99.16508486758126
14,202402,5,3,39,39,19.287669876007367,-99.15738465742731
14,202402,4,3,32,32,19.26658086595735,-99.17776479658632
15,202402,7,3,768,764,19.428679882274807,-99.09961312373662
15,202402,3,3,14,14,19.424596780694998,-99.09973684926476
15,202402,2,3,29,29,19.424446892000205,-99.1010987999837
15,202402,1,3,83,81,19.428146074621072,-99.10563777037254
15,202402,6,3,11,11,19.434616394379077,-99.10631532727264
15,202402,5,3,59,59,19.42825992062159,-99.10881104405772
15,202402,4,3,22,22,19.427626837106263,-99.09557698863632
16,202402,7,3,484,481,19.255308995248495,-99.09623985925955
16,202402,3,3,18,18,19.246461972611822,-99.08639965722216
16,202402,2,3,11,11,19.248563954379343,-99.0991460236363
16,202402,1,3,20,20,19.26034430633408,-99.10329562349996
16,202402,6,3,19,19,19.27462485562348,-99.1131292647368
16,202402,5,3,11,11,19.25447401801572,-99.07747837818178
16,202402,4,3,18,18,19.26041865691245,-99.10802672221836
2,202403,7,3,1027,1006,19.36171071445744,-99.22086167657984
2,202403,3,3,17,17,19.354027968564,-99.218461947621
2,202403,2,3,66,66,19.363887669342795,-99.21323365212756
2,202403,1,3,90,90,19.36759762619636,-99.21584405499628
2,202403,6,3,40,40,19.35616430454473,-99.21153838800944
2,202403,5,3,29,29,19.36355323748324,-99.2076785348277
2,202403,4,3,10,10,19.36530636839837,-99.2161314570154
1,202403,7,3,621,618,19.481677333791705,-99.18380408553926
1,202403,3,3,9,9,19.485820380944578,-99.19104806222212
1,202403,2,3,88,88,19.48479633437317,-99.1807117761342
1,202403,1,3,44,44,19.48576871498382,-99.1880435229583
1,202403,6,3,17,17,19.490505756287245,-99.1921194011926
1,202403,5,3,31,31,19.47561145496936,-99.17387632194084
1,202403,4,3,15,15,19.49120566457653,-99.19110002731996
3,202403,7,3,966,964,19.381858858645785,-99.16052464787172
3,202403,3,3,15,15,19.38449159350523,-99.15694960200317
3,202403,2,3,130,130,19.38040683277886,-99.16412496862748
3,202403,1,3,72,71,19.380238065941867,-99.16099056085017
3,202403,6,3,71,71,19.370299850085956,-99.16746862619752
3,202403,5,3,130,130,19.385207192076447,-99.15613019693735
3,202403,4,3,32,32,19.38465241795862,-99.1601013484374
4,202403,7,3,957,953,19.32651672921598,-99.14759796930022
4,202403,3,3,20,20,19.32947895845926,-99.15164521749328
4,202403,2,3,93,93,19.327786377416142,-99.1615434898931
4,202403,1,3,72,70,19.327076375485,-99.15367358928032
4,202403,6,3,42,41,19.32753322798497,-99.15188186341936
4,202403,5,3,59,59,19.337602908703893,-99.14863006237304
4,202403,4,3,36,36,19.32647238306337,-99.14610784026588
5,202403,7,3,295,292,19.355357211704167,-99.293311251186
5,202403,3,3,5,5,19.37185128525764,-99.26988904016484
5,202403,2,3,25,25,19.357538896561223,-99.28766868080746
5,202403,1,3,5,5,19.35954096383376,-99.28245462599982
5,202403,6,3,10,10,19.35598775283365,-99.29110112199984
5,202403,5,3,9,9,19.36687969761139,-99.28427320111096
5,202403,4,3,1,1,19.3436951530415,-99.3069527998127
6,202403,7,3,1927,1890,19.431338579258163,-99.14678549998398
6,202403,3,3,31,31,19.42796733944881,-99.15121673318298
6,202403,2,3,160,160,19.431000774780085,-99.14737683806158
6,202403,1,3,221,221,19.431576866038156,-99.147996662312
6,202403,6,3,48,48,19.422316431905397,-99.15888641915204
6,202403,5,3,213,213,19.4249682911516,-99.1546038614559
6,202403,4,3,58,58,19.427829973124805,-99.15665171293564
7,202403,7,3,1447,1413,19.493369621445684,-99.11252555045004
7,202403,3,3,24,24,19.495894052042228,-99.116786913751
7,202403,2,3,110,110,19.48198145915921,-99.11477577191536
7,202403,1,3,85,85,19.48789922555137,-99.11050345281932
7,202403,6,3,21,21,19.49398802730452,-99.1129825933106
7,202403,5,3,96,96,19.481814109876844,-99.1188443303174
7,202403,4,3,57,56,19.489320021598967,-99.1159443894003
8,202403,7,3,663,662,19.396362471745995,-99.09365886571102
8,202403,3,3,8,8,19.39547519248384,-99.10606023624854
