alcaldia_key,alcaldia_nombre,alcaldia_id,anio,mes,tiempo_id,subtipo_robo_patrimonial,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
COYOACAN,Coyoacan,4,2001,4,200104,OTRO,2,2,19.338265,-99.16038499999999
CUAUHTEMOC,Cuauhtemoc,6,2001,4,200104,OTRO,6,4,19.429967095087697,-99.15257240418367
GUSTAVO A MADERO,Gustavo A Madero,7,2001,4,200104,OTRO,1,1,19.47947,-99.09873
GUSTAVO A MADERO,Gustavo A Madero,7,2001,4,200104,ROBO_A_CASA_HABITACION,1,1,19.48071,-99.11574
IZTAPALAPA,Iztapalapa,9,2001,4,200104,OTRO,2,1,19.3340750185715,-99.0716630695772
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,4,200104,OTRO,1,1,19.39963,-99.18213
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,4,200104,OTRO,1,1,19.4423034605301,-99.1198518845025
ALVARO OBREGON,Alvaro Obregon,2,2001,5,200105,OTRO,1,1,19.3483782287681,-99.2254825870195
COYOACAN,Coyoacan,4,2001,5,200105,OTRO,1,1,19.3410947036337,-99.1152096803994
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2001,5,200105,OTRO,1,1,19.34977,-99.25967
CUAUHTEMOC,Cuauhtemoc,6,2001,5,200105,OTRO,4,4,19.424064567500174,-99.15189164342377
GUSTAVO A MADERO,Gustavo A Madero,7,2001,5,200105,OTRO,2,2,19.4859160053796,-99.09584096937965
IZTACALCO,Iztacalco,8,2001,5,200105,OTRO,1,1,19.39594,-99.07857
IZTACALCO,Iztacalco,8,2001,5,200105,ROBO_A_TRANSEUNTE,1,1,19.3834,-99.12664
IZTAPALAPA,Iztapalapa,9,2001,5,200105,OTRO,3,1,19.34328,-98.98954
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2001,5,200105,OTRO,1,1,19.30932,-99.25027
TLAHUAC,Tlahuac,13,2001,5,200105,OTRO,1,1,19.2455383498336,-98.99789661
ALVARO OBREGON,Alvaro Obregon,2,2001,6,200106,OTRO,2,2,19.34482706495755,-99.22177295713604
ALVARO OBREGON,Alvaro Obregon,2,2001,6,200106,ROBO_A_TRANSEUNTE,1,1,19.3886,-99.2155
AZCAPOTZALCO,Azcapotzalco,1,2001,6,200106,OTRO,1,1,19.4957176557,-99.1867743505
BENITO JUAREZ,Benito Juarez,3,2001,6,200106,OTRO,1,1,19.39645,-99.18114
CUAUHTEMOC,Cuauhtemoc,6,2001,6,200106,OTRO,4,4,19.42648983099885,-99.1509450789077
CUAUHTEMOC,Cuauhtemoc,6,2001,6,200106,ROBO_A_TRANSEUNTE,1,1,19.45474,-99.13847
GUSTAVO A MADERO,Gustavo A Madero,7,2001,6,200106,OTRO,3,1,19.55912,-99.14687
GUSTAVO A MADERO,Gustavo A Madero,7,2001,6,200106,ROBO_A_TRANSEUNTE,1,1,19.46842,-99.09951
IZTAPALAPA,Iztapalapa,9,2001,6,200106,OTRO,2,2,19.3502,-99.081975
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2001,6,200106,OTRO,1,1,19.2995637606518,-99.2441213653707
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,6,200106,OTRO,1,1,19.4297007723839,-99.1786204900773
TLAHUAC,Tlahuac,13,2001,6,200106,OTRO,1,1,19.3091943528645,-98.9666598207132
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,6,200106,ROBO_A_TRANSEUNTE,1,1,19.45636,-99.12235
XOCHIMILCO,Xochimilco,16,2001,6,200106,OTRO,1,1,19.23531,-99.09775
AZCAPOTZALCO,Azcapotzalco,1,2001,7,200107,OTRO,1,1,19.46929,-99.14871
COYOACAN,Coyoacan,4,2001,7,200107,OTRO,4,4,19.3448796878163,-99.13982098429608
CUAUHTEMOC,Cuauhtemoc,6,2001,7,200107,OTRO,3,2,19.427754999999998,-99.14542499999999
CUAUHTEMOC,Cuauhtemoc,6,2001,7,200107,ROBO_A_NEGOCIO,1,1,19.43584,-99.16963
GUSTAVO A MADERO,Gustavo A Madero,7,2001,7,200107,OTRO,1,1,19.5569342525511,-99.1323332961979
IZTACALCO,Iztacalco,8,2001,7,200107,OTRO,1,0,\N,\N
IZTAPALAPA,Iztapalapa,9,2001,7,200107,OTRO,2,2,19.34949,-99.07890499999999
TLALPAN,Tlalpan,14,2001,7,200107,OTRO,1,1,19.24489,-99.18602
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,7,200107,OTRO,3,3,19.4312367444222,-99.10363748351197
XOCHIMILCO,Xochimilco,16,2001,7,200107,OTRO,1,1,19.24507,-99.11666
XOCHIMILCO,Xochimilco,16,2001,7,200107,ROBO_A_TRANSEUNTE,1,1,19.26392,-99.10537
ALVARO OBREGON,Alvaro Obregon,2,2001,8,200108,OTRO,1,1,19.35305,-99.2172
COYOACAN,Coyoacan,4,2001,8,200108,OTRO,1,1,19.33635,-99.11855
CUAUHTEMOC,Cuauhtemoc,6,2001,8,200108,OTRO,3,2,19.4333189680024,-99.1452717065126
GUSTAVO A MADERO,Gustavo A Madero,7,2001,8,200108,OTRO,1,1,19.4693360279522,-99.1077997542486
IZTACALCO,Iztacalco,8,2001,8,200108,OTRO,1,1,19.3885830096,-99.0756806921
IZTAPALAPA,Iztapalapa,9,2001,8,200108,OTRO,4,3,19.3413533371722,-99.03707668121244
IZTAPALAPA,Iztapalapa,9,2001,8,200108,ROBO_A_TRANSEUNTE,1,1,19.37329,-99.01773
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,8,200108,OTRO,2,2,19.4433279750501,-99.20100848985149
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,8,200108,OTRO,1,1,19.4382119636026,-99.0929856420189
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,8,200108,ROBO_A_TRANSEUNTE,1,1,19.43082,-99.1245
ALVARO OBREGON,Alvaro Obregon,2,2001,9,200109,OTRO,1,1,19.35291,-99.19614
ALVARO OBREGON,Alvaro Obregon,2,2001,9,200109,ROBO_DE_VEHICULO,1,1,19.36391,-99.26085
AZCAPOTZALCO,Azcapotzalco,1,2001,9,200109,OTRO,1,1,19.5076463911278,-99.2022484932337
AZCAPOTZALCO,Azcapotzalco,1,2001,9,200109,ROBO_A_TRANSEUNTE,1,1,19.46038,-99.1679
BENITO JUAREZ,Benito Juarez,3,2001,9,200109,OTRO,1,1,19.37828,-99.13954
COYOACAN,Coyoacan,4,2001,9,200109,OTRO,1,1,19.3299,-99.12843
CUAUHTEMOC,Cuauhtemoc,6,2001,9,200109,OTRO,6,5,19.4226830820322,-99.14908522616733
GUSTAVO A MADERO,Gustavo A Madero,7,2001,9,200109,OTRO,1,1,19.4653974271,-99.1410168662
IZTAPALAPA,Iztapalapa,9,2001,9,200109,OTRO,4,4,19.345659705621774,-99.02385389498303
TLALPAN,Tlalpan,14,2001,9,200109,OTRO,3,3,19.29875302223333,-99.1571042323
TLALPAN,Tlalpan,14,2001,9,200109,ROBO_A_NEGOCIO,1,1,19.29675,-99.22987
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,9,200109,OTRO,1,1,19.45153,-99.10872
BENITO JUAREZ,Benito Juarez,3,2001,10,200110,ROBO_DEL_INTERIOR_DE_VEHICULO,1,1,19.3579,-99.15121
COYOACAN,Coyoacan,4,2001,10,200110,OTRO,3,3,19.314250880112102,-99.14362417040776
CUAUHTEMOC,Cuauhtemoc,6,2001,10,200110,OTRO,4,4,19.4244375,-99.14776499999999
CUAUHTEMOC,Cuauhtemoc,6,2001,10,200110,ROBO_DE_ACCESORIOS_AUTO,1,1,19.43018,-99.14823
GUSTAVO A MADERO,Gustavo A Madero,7,2001,10,200110,OTRO,1,1,19.4803803798337,-99.1019166999999
IZTACALCO,Iztacalco,8,2001,10,200110,OTRO,1,1,19.39854,-99.06293
IZTAPALAPA,Iztapalapa,9,2001,10,200110,OTRO,1,1,19.374903795859,-99.0376748108451
ALVARO OBREGON,Alvaro Obregon,2,2001,11,200111,OTRO,2,2,19.38377540345475,-99.2230563053773
ALVARO OBREGON,Alvaro Obregon,2,2001,11,200111,ROBO_A_TRANSEUNTE,1,1,19.39858,-99.20034
AZCAPOTZALCO,Azcapotzalco,1,2001,11,200111,OTRO,1,1,19.48448,-99.18507
COYOACAN,Coyoacan,4,2001,11,200111,OTRO,1,1,19.3521263446331,-99.145328649905
CUAUHTEMOC,Cuauhtemoc,6,2001,11,200111,OTRO,6,5,19.427135896240664,-99.14439455428197
GUSTAVO A MADERO,Gustavo A Madero,7,2001,11,200111,OTRO,1,1,19.49092,-99.06729
IZTAPALAPA,Iztapalapa,9,2001,11,200111,OTRO,3,3,19.328126695669667,-99.0551741456801
IZTAPALAPA,Iztapalapa,9,2001,11,200111,ROBO_A_TRANSEUNTE,1,1,19.34291,-98.98263
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2001,11,200111,OTRO,1,1,19.32198,-99.24651
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,11,200111,OTRO,1,1,19.44233,-99.21898
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,11,200111,ROBO_A_TRANSEUNTE,1,1,19.43312,-99.18282
TLAHUAC,Tlahuac,13,2001,11,200111,OTRO,2,2,19.270785,-99.003825
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,11,200111,OTRO,2,2,19.42764200376785,-99.1066152168163
XOCHIMILCO,Xochimilco,16,2001,11,200111,OTRO,2,2,19.255078827712452,-99.0521785619586
ALVARO OBREGON,Alvaro Obregon,2,2001,12,200112,OTRO,2,2,19.376475,-99.20805999999999
ALVARO OBREGON,Alvaro Obregon,2,2001,12,200112,ROBO_A_TRANSEUNTE,1,1,19.33255,-99.24535
BENITO JUAREZ,Benito Juarez,3,2001,12,200112,OTRO,2,2,19.377924999999998,-99.180785
COYOACAN,Coyoacan,4,2001,12,200112,OTRO,3,3,19.327086666666666,-99.14306666666666
COYOACAN,Coyoacan,4,2001,12,200112,ROBO_A_NEGOCIO,1,1,19.31502,-99.16182
COYOACAN,Coyoacan,4,2001,12,200112,ROBO_A_TRANSEUNTE,1,1,19.34535,-99.137
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2001,12,200112,OTRO,1,1,19.31465,-99.33825
CUAUHTEMOC,Cuauhtemoc,6,2001,12,200112,OTRO,3,3,19.418203519108268,-99.1496078599518
CUAUHTEMOC,Cuauhtemoc,6,2001,12,200112,ROBO_A_TRANSEUNTE,1,1,19.43235,-99.13772
GUSTAVO A MADERO,Gustavo A Madero,7,2001,12,200112,OTRO,1,1,19.48224,-99.09739
GUSTAVO A MADERO,Gustavo A Madero,7,2001,12,200112,ROBO_A_TRANSEUNTE,1,1,19.46197,-99.11285
GUSTAVO A MADERO,Gustavo A Madero,7,2001,12,200112,ROBO_DE_VEHICULO,1,1,19.46464,-99.12636
IZTAPALAPA,Iztapalapa,9,2001,12,200112,OTRO,3,3,19.359494296450734,-99.04327800324553
IZTAPALAPA,Iztapalapa,9,2001,12,200112,ROBO_A_NEGOCIO,1,1,19.34326,-99.04094
IZTAPALAPA,Iztapalapa,9,2001,12,200112,ROBO_DE_VEHICULO,2,2,19.35537,-99.08958
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,12,200112,OTRO,2,2,19.443334999999998,-99.191105
TLAHUAC,Tlahuac,13,2001,12,200112,ROBO_A_TRANSEUNTE,1,1,19.28857,-99.04372
TLALPAN,Tlalpan,14,2001,12,200112,OTRO,2,2,19.28451155105375,-99.1670890247382
XOCHIMILCO,Xochimilco,16,2001,12,200112,OTRO,1,1,19.2497500997585,-99.0376614256392
ALVARO OBREGON,Alvaro Obregon,2,2002,1,200201,OTRO,1,0,\N,\N
ALVARO OBREGON,Alvaro Obregon,2,2002,1,200201,ROBO_A_NEGOCIO,1,1,19.35446,-99.23565
AZCAPOTZALCO,Azcapotzalco,1,2002,1,200201,OTRO,1,1,19.4694673274,-99.1631089092
COYOACAN,Coyoacan,4,2002,1,200201,OTRO,2,2,19.33158146168725,-99.14950330354685
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2002,1,200201,OTRO,1,1,19.3414429532588,-99.3139979045614
